date,project_id,num_transactions,total_vol_in_usd
2024-04-01,4974,0.61,0.61
2024-04-01,4974,1.10,1.10
2024-04-01,4974,0.22,0.22
2024-04-01,4974,0.53,0.53
2024-04-01,4974,0.80,0.80
2024-04-01,1609,313500000000000000.00,313500000000000000.00
2024-04-01,4974,26.03,26.03
2024-04-01,4974,5.55,5.55
2024-04-01,4974,65.24,65.24
2024-04-01,4974,7.63,7.63
2024-04-01,1609,1814500000000000000.00,1814500000000000000.00
2024-04-01,4974,12.57,12.57
2024-04-01,4974,7.25,7.25
2024-04-01,4974,6.39,6.39
2024-04-01,4974,13.74,13.74
2024-04-01,4974,3.96,3.96
2024-04-01,4974,0.07,0.07
2024-04-01,1609,2400000000000000000.00,2400000000000000000.00
2024-04-01,4974,1.44,1.44
2024-04-01,0,184.99,184.99
2024-04-01,0,25.81,25.81
2024-04-01,0,1.04,1.04
2024-04-01,0,0.03,0.03
2024-04-01,0,0.11,0.11
2024-04-01,0,0.98,0.98
2024-04-01,0,0.13,0.13
2024-04-01,0,0.13,0.13
2024-04-01,0,0.44,0.44
2024-04-01,4974,0.96,0.96
2024-04-01,4974,0.66,0.66
2024-04-01,1609,3800000000000000000.00,3800000000000000000.00
2024-04-01,0,2.12,2.12
2024-04-01,0,2.83,2.83
2024-04-01,0,14.67,14.67
2024-04-01,4974,0.08,0.08
2024-04-01,1609,2375000000000000000.00,2375000000000000000.00
2024-04-01,1609,2090000000000000000.00,2090000000000000000.00
2024-04-01,0,15.00,15.00
2024-04-01,0,1.94,1.94
2024-04-01,4974,59.73,59.73
2024-04-01,0,10.67,10.67
2024-04-01,0,19.85,19.85
2024-04-01,0,52.93,52.93
2024-04-01,0,16.94,16.94
2024-04-01,0,4.08,4.08
2024-04-01,0,19.16,19.16
2024-04-01,0,20.64,20.64
2024-04-01,0,24.78,24.78
2024-04-01,0,26.66,26.66
2024-04-01,0,26.57,26.57
2024-04-01,0,8.82,8.82
2024-04-01,0,27.82,27.82
2024-04-01,0,9.27,9.27
2024-04-01,0,440.29,440.29
2024-04-01,0,115.34,115.34
2024-04-01,0,12.53,12.53
2024-04-01,0,5.41,5.41
2024-04-01,0,8.07,8.07
2024-04-01,0,28.15,28.15
2024-04-01,0,26.30,26.30
2024-04-01,0,6.22,6.22
2024-04-01,0,7.25,7.25
